iter	Passed	Remaining
0	36	36610
1	58	29425
2	82	27578
3	100	24916
4	113	22654
5	126	20876
6	140	19963
7	153	19044
8	171	18904
9	186	18454
10	204	18399
11	218	17967
12	231	17557
13	243	17147
14	255	16802
15	268	16542
16	285	16515
17	298	16310
18	311	16092
19	323	15861
20	336	15709
21	353	15695
22	366	15572
23	383	15578
24	398	15528
25	414	15526
26	429	15466
27	441	15342
28	454	15207
29	466	15092
30	484	15144
31	497	15047
32	511	14977
33	525	14920
34	537	14828
35	551	14769
36	566	14739
37	581	14718
38	601	14832
39	627	15071
40	646	15125
41	662	15107
42	676	15064
43	693	15062
44	708	15041
45	724	15022
46	740	15012
47	754	14957
48	767	14903
49	783	14887
50	797	14847
51	813	14824
52	828	14805
53	848	14863
54	869	14941
55	894	15072
56	920	15221
57	944	15334
58	971	15494
59	999	15662
60	1032	15891
61	1061	16052
62	1082	16107
63	1105	16165
64	1125	16194
65	1140	16145
66	1155	16091
67	1169	16030
68	1184	15976
69	1197	15909
70	1211	15850
71	1225	15794
72	1240	15758
73	1256	15723
74	1277	15760
75	1292	15708
76	1305	15653
77	1322	15628
78	1334	15561
79	1347	15500
80	1361	15450
81	1374	15392
82	1386	15319
83	1399	15264
84	1415	15238
85	1428	15182
86	1441	15125
87	1453	15063
88	1470	15053
89	1486	15026
90	1500	14984
91	1513	14937
92	1527	14895
93	1541	14852
94	1554	14807
95	1566	14755
96	1580	14709
97	1592	14655
98	1604	14599
99	1616	14550
100	1629	14508
101	1642	14458
102	1656	14421
103	1669	14379
104	1682	14339
105	1695	14303
106	1710	14279
107	1726	14257
108	1740	14225
109	1754	14197
110	1767	14157
111	1781	14123
112	1793	14078
113	1806	14040
114	1820	14007
115	1834	13976
116	1846	13937
117	1860	13905
118	1873	13868
119	1885	13829
120	1906	13850
121	1919	13815
122	1937	13811
123	1950	13781
124	1964	13752
125	1976	13712
126	1989	13674
127	2004	13655
128	2022	13657
129	2035	13624
130	2049	13597
131	2062	13562
132	2082	13573
133	2098	13563
134	2112	13536
135	2132	13545
136	2150	13544
137	2165	13528
138	2181	13514
139	2197	13499
140	2212	13476
141	2227	13456
142	2241	13432
143	2255	13409
144	2269	13380
145	2282	13350
146	2295	13317
147	2308	13288
148	2322	13262
149	2336	13238
150	2350	13216
151	2363	13185
152	2376	13154
153	2389	13125
154	2400	13087
155	2414	13064
156	2428	13041
157	2442	13015
158	2457	12999
159	2471	12972
160	2483	12941
161	2497	12916
162	2509	12885
163	2522	12858
164	2537	12839
165	2555	12836
166	2569	12816
167	2582	12791
168	2595	12760
169	2608	12737
170	2625	12726
171	2641	12716
172	2658	12707
173	2673	12693
174	2687	12669
175	2700	12643
176	2712	12612
177	2725	12584
178	2738	12558
179	2752	12538
180	2767	12520
181	2783	12510
182	2798	12491
183	2811	12468
184	2823	12438
185	2836	12414
186	2849	12387
187	2862	12364
188	2875	12340
189	2888	12312
190	2901	12288
191	2913	12261
192	2926	12235
193	2937	12206
194	2950	12179
195	2964	12159
196	2978	12141
197	2993	12125
198	3008	12110
199	3022	12091
200	3035	12068
201	3048	12042
202	3061	12021
203	3077	12009
204	3090	11986
205	3102	11958
206	3116	11937
207	3129	11917
208	3142	11894
209	3156	11872
210	3170	11855
211	3187	11848
212	3202	11832
213	3214	11807
214	3228	11788
215	3243	11772
216	3257	11753
217	3273	11741
218	3289	11730
219	3302	11710
220	3317	11693
221	3330	11673
222	3345	11656
223	3359	11639
224	3375	11626
225	3400	11646
226	3414	11628
227	3430	11616
228	3449	11612
229	3462	11592
230	3476	11573
231	3492	11562
232	3514	11570
233	3531	11561
234	3547	11547
235	3561	11528
236	3575	11510
237	3590	11495
238	3604	11477
239	3619	11460
240	3636	11452
241	3653	11443
242	3667	11424
243	3685	11418
244	3700	11402
245	3715	11388
246	3729	11369
247	3744	11355
248	3757	11334
249	3771	11314
250	3786	11298
251	3804	11294
252	3821	11282
253	3837	11270
254	3853	11257
255	3868	11242
256	3883	11226
257	3898	11212
258	3912	11193
259	3927	11177
260	3941	11161
261	3957	11146
262	3973	11135
263	3991	11128
264	4006	11111
265	4019	11090
266	4031	11068
267	4047	11055
268	4060	11035
269	4074	11015
270	4087	10996
271	4100	10973
272	4115	10958
273	4128	10938
274	4140	10916
275	4153	10895
276	4165	10873
277	4178	10851
278	4191	10831
279	4205	10813
280	4219	10797
281	4231	10774
282	4245	10756
283	4261	10742
284	4273	10721
285	4286	10702
286	4300	10683
287	4314	10665
288	4326	10645
289	4338	10622
290	4352	10603
291	4364	10582
292	4375	10558
293	4388	10538
294	4402	10521
295	4416	10503
296	4430	10486
297	4448	10478
298	4461	10461
299	4477	10447
300	4492	10432
301	4504	10411
302	4517	10391
303	4531	10375
304	4544	10356
305	4556	10334
306	4568	10312
307	4581	10292
308	4595	10276
309	4608	10257
310	4620	10235
311	4633	10216
312	4650	10206
313	4668	10199
314	4685	10189
315	4700	10175
316	4712	10154
317	4726	10137
318	4743	10126
319	4756	10107
320	4768	10087
321	4782	10069
322	4795	10051
323	4810	10035
324	4823	10017
325	4836	9998
326	4849	9980
327	4862	9963
328	4878	9950
329	4892	9933
330	4905	9915
331	4918	9896
332	4930	9875
333	4956	9883
334	4971	9868
335	4984	9850
336	4997	9831
337	5010	9814
338	5023	9795
339	5037	9779
340	5052	9763
341	5066	9747
342	5079	9730
343	5094	9714
344	5107	9696
345	5119	9676
346	5133	9659
347	5148	9646
348	5160	9626
349	5172	9606
350	5193	9602
